"TOA5","TBM2a-STA1","CR300","20544","CR300.Std.09.02","CPU:TBM2a-STA1_V05.CR300","29960","RawData"
"TIMESTAMP","RECORD","0100-XE-702-H1p Movement","0100-XE-702-V1p Movement","0100-XE-702-R1p Movement","0100-XE-702-H2p Movement","0100-XE-702-V2p Movement","0100-XE-702-R2p Movement","0100-XE-702-H3p Movement","0100-XE-702-V3p Movement","0100-XE-702-R3p Movement","0100-XE-702-H4p Movement","0100-XE-702-V4p Movement","0100-XE-702-R4p Movement","0100-XE-702-H5p Movement","0100-XE-702-V5p Movement","0100-XE-702-R5p Movement","0100-XE-702-H6p Movement","0100-XE-702-V6p Movement","0100-XE-702-R6p Movement","0100-XE-702-H7p Movement","0100-XE-702-V7p Movement","0100-XE-702-R7p Movement","0100-XE-703-H1p Movement","0100-XE-703-V1p Movement","0100-XE-703-R1p Movement","0100-XE-703-H2p Movement","0100-XE-703-V2p Movement","0100-XE-703-R2p Movement","0100-XE-703-H3p Movement","0100-XE-703-V3p Movement","0100-XE-703-R3p Movement","0100-XE-703-H4p Movement","0100-XE-703-V4p Movement","0100-XE-703-R4p Movement","0100-XE-703-H5p Movement","0100-XE-703-V5p Movement","0100-XE-703-R5p Movement","0100-XE-703-H6p Movement","0100-XE-703-V6p Movement","0100-XE-703-R6p Movement","0100-XE-703-H7p Movement","0100-XE-703-V7p Movement","0100-XE-703-R7p Movement","0100-XE-702-H1s Movement","0100-XE-702-V1s Movement","0100-XE-702-R1s Movement","0100-XE-702-H2s Movement","0100-XE-702-V2s Movement","0100-XE-702-R2s Movement","0100-XE-702-H3s Movement","0100-XE-702-V3s Movement","0100-XE-702-R3s Movement","0100-XE-702-H4s Movement","0100-XE-702-V4s Movement","0100-XE-702-R4s Movement","0100-XE-702-H5s Movement","0100-XE-702-V5s Movement","0100-XE-702-R5s Movement","0100-XE-702-H6s Movement","0100-XE-702-V6s Movement","0100-XE-702-R6s Movement","0100-XE-702-H7s Movement","0100-XE-702-V7s Movement","0100-XE-702-R7s Movement","0100-XE-703-H1s Movement","0100-XE-703-V1s Movement","0100-XE-703-R1s Movement","0100-XE-703-H2s Movement","0100-XE-703-V2s Movement","0100-XE-703-R2s Movement","0100-XE-703-H3s Movement","0100-XE-703-V3s Movement","0100-XE-703-R3s Movement","0100-XE-703-H4s Movement","0100-XE-703-V4s Movement","0100-XE-703-R4s Movement","0100-XE-703-H5s Movement","0100-XE-703-V5s Movement","0100-XE-703-R5s Movement","0100-XE-703-H6s Movement","0100-XE-703-V6s Movement","0100-XE-703-R6s Movement","0100-XE-703-H7s Movement","0100-XE-703-V7s Movement","0100-XE-703-R7s Movement","0100-XE-702-H1p Status","0100-XE-702-V1p Status","0100-XE-702-R1p Status","0100-XE-702-H2p Status","0100-XE-702-V2p Status","0100-XE-702-R2p Status","0100-XE-702-H3p Status","0100-XE-702-V3p Status","0100-XE-702-R3p Status","0100-XE-702-H4p Status","0100-XE-702-V4p Status","0100-XE-702-R4p Status","0100-XE-702-H5p Status","0100-XE-702-V5p Status","0100-XE-702-R5p Status","0100-XE-702-H6p Status","0100-XE-702-V6p Status","0100-XE-702-R6p Status","0100-XE-702-H7p Status","0100-XE-702-V7p Status","0100-XE-702-R7p Status","0100-XE-703-H1p Status","0100-XE-703-V1p Status","0100-XE-703-R1p Status","0100-XE-703-H2p Status","0100-XE-703-V2p Status","0100-XE-703-R2p Status","0100-XE-703-H3p Status","0100-XE-703-V3p Status","0100-XE-703-R3p Status","0100-XE-703-H4p Status","0100-XE-703-V4p Status","0100-XE-703-R4p Status","0100-XE-703-H5p Status","0100-XE-703-V5p Status","0100-XE-703-R5p Status","0100-XE-703-H6p Status","0100-XE-703-V6p Status","0100-XE-703-R6p Status","0100-XE-703-H7p Status","0100-XE-703-V7p Status","0100-XE-703-R7p Status","0100-XE-702-H1s Status","0100-XE-702-V1s Status","0100-XE-702-R1s Status","0100-XE-702-H2s Status","0100-XE-702-V2s Status","0100-XE-702-R2s Status","0100-XE-702-H3s Status","0100-XE-702-V3s Status","0100-XE-702-R3s Status","0100-XE-702-H4s Status","0100-XE-702-V4s Status","0100-XE-702-R4s Status","0100-XE-702-H5s Status","0100-XE-702-V5s Status","0100-XE-702-R5s Status","0100-XE-702-H6s Status","0100-XE-702-V6s Status","0100-XE-702-R6s Status","0100-XE-702-H7s Status","0100-XE-702-V7s Status","0100-XE-702-R7s Status","0100-XE-703-H1s Status","0100-XE-703-V1s Status","0100-XE-703-R1s Status","0100-XE-703-H2s Status","0100-XE-703-V2s Status","0100-XE-703-R2s Status","0100-XE-703-H3s Status","0100-XE-703-V3s Status","0100-XE-703-R3s Status","0100-XE-703-H4s Status","0100-XE-703-V4s Status","0100-XE-703-R4s Status","0100-XE-703-H5s Status","0100-XE-703-V5s Status","0100-XE-703-R5s Status","0100-XE-703-H6s Status","0100-XE-703-V6s Status","0100-XE-703-R6s Status","0100-XE-703-H7s Status","0100-XE-703-V7s Status","0100-XE-703-R7s Status"
"TS","RN","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-","mm","-"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-11-17 15:07:12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-11-17 15:07:13",2,-45.862998962402344,-10.9042387008667,-9.89110279083252,-52.92231369018555,-13.101792335510254,-20.81252670288086,-45.435428619384766,-11.414047241210938,-3.837010622024536,-39.24885177612305,-13.602657318115234,-0.9319546818733215,-50.984405517578125,-3.6069722175598145,-4.639833927154541,-27.399580001831055,-2.170544385910034,-14.849154472351074,-42.57740783691406,-9.465283393859863,-5.836178779602051,-32.515560150146484,-20.30540657043457,-7.359256267547607,-35.76426315307617,-10.809290885925293,-10.360170364379883,-49.46883010864258,-10.436586380004883,-24.834205627441406,-28.51095962524414,-11.793886184692383,-4.18507194519043,-19.539960861206055,-26.609725952148438,-18.810028076171875,-36.93218994140625,-9.724372863769531,-10.299273490905762,-29.954317092895508,-6.220455646514893,-16.9668025970459,-49.833953857421875,-9.67905330657959,-10.063301086425781,-59.77766036987305,-12.920221328735352,-11.889788627624512,-46.930946350097656,-5.314323902130127,-9.778093338012695,-28.60484504699707,-1.6608190536499023,-1.8505789041519165,-54.05351257324219,-8.816628456115723,-9.236566543579102,-15.270158767700195,-1.5329415798187256,-20.284208297729492,-16.003494262695312,-5.674704551696777,-0.42428135871887207,-22.343873977661133,-7.785266399383545,-3.0796689987182617,-47.098411560058594,-8.874333381652832,-5.3251800537109375,-19.286012649536133,-0.7435614466667175,-0.37432777881622314,-25.63376235961914,-13.635354995727539,-4.347797393798828,-40.258365631103516,-3.347083806991577,-12.962915420532227,-49.95905685424805,-7.473598957061768,3.261152982711792,-41.60194778442383,-14.540306091308594,1.5438816547393799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:14",3,-46.074066162109375,-11.036261558532715,-9.854966163635254,-52.911865234375,-13.101821899414062,-20.806781768798828,-45.35702133178711,-11.398107528686523,-3.8350701332092285,-39.26430130004883,-13.592635154724121,-0.9254419207572937,-51.041221618652344,-3.6046299934387207,-4.646839141845703,-27.399702072143555,-2.1065800189971924,-14.854204177856445,-42.572513580322266,-9.485433578491211,-5.900555610656738,-32.517982482910156,-20.30864906311035,-7.625052452087402,-35.75895690917969,-10.821592330932617,-10.358992576599121,-49.492919921875,-10.436970710754395,-24.859914779663086,-28.57329559326172,-11.7938232421875,-4.141788482666016,-19.5104923248291,-26.591398239135742,-18.769601821899414,-36.71763229370117,-9.724981307983398,-10.30183219909668,-30.66034698486328,-6.258304595947266,-16.927204132080078,-49.841976165771484,-9.676097869873047,-10.143046379089355,-59.776981353759766,-12.908418655395508,-11.889875411987305,-47.0305290222168,-5.3090410232543945,-9.780991554260254,-28.617202758789062,-1.6725459098815918,-1.8555582761764526,-54.04291915893555,-8.816040992736816,-9.186607360839844,-15.357933044433594,-1.5143238306045532,-20.288108825683594,-15.998050689697266,-5.716998100280762,-0.4194813668727875,-22.328895568847656,-7.835243225097656,-3.0054798126220703,-47.118133544921875,-8.877867698669434,-5.324517250061035,-19.282737731933594,-0.7524409294128418,-0.37538883090019226,-25.63930892944336,-13.647090911865234,-4.347097873687744,-40.2662239074707,-3.346370220184326,-12.917015075683594,-50.01166534423828,-7.460695743560791,3.2838432788848877,-41.49903869628906,-14.561229705810547,1.5439603328704834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:15",4,-46.074066162109375,-11.007905006408691,-9.808249473571777,-52.91545104980469,-13.101775169372559,-20.785953521728516,-45.45176315307617,-11.39044189453125,-3.836723804473877,-39.27485656738281,-13.540102005004883,-0.9139328598976135,-51.10441589355469,-3.6035289764404297,-4.653336048126221,-27.37403106689453,-1.9672110080718994,-14.871599197387695,-42.51148986816406,-9.494294166564941,-5.853716850280762,-32.560218811035156,-20.307811737060547,-7.795760631561279,-35.76468276977539,-10.821292877197266,-10.35911750793457,-49.482486724853516,-10.436559677124023,-25.112266540527344,-28.543668746948242,-11.79858112335205,-4.1598219871521,-19.48965835571289,-26.584030151367188,-18.86496353149414,-36.69572448730469,-9.720218658447266,-10.302083969116211,-30.68842315673828,-6.246042728424072,-16.916881561279297,-49.850948333740234,-9.666096687316895,-10.022496223449707,-59.767520904541016,-12.87720012664795,-11.885520935058594,-47.05173110961914,-5.308455944061279,-9.794103622436523,-28.609594345092773,-1.6886751651763916,-1.8622492551803589,-54.191139221191406,-8.809646606445312,-9.154662132263184,-15.428059577941895,-1.5050017833709717,-20.27326202392578,-15.987154960632324,-5.711481094360352,-0.4247578978538513,-22.39270782470703,-7.715874195098877,-3.2134029865264893,-47.06708908081055,-8.867746353149414,-5.3269782066345215,-19.278409957885742,-0.7396376729011536,-0.16775868833065033,-25.649532318115234,-13.659858703613281,-4.3474507331848145,-40.29209899902344,-3.3456122875213623,-12.936031341552734,-50.04847717285156,-7.4688005447387695,3.076000690460205,-41.372314453125,-14.554810523986816,1.5439469814300537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:16",5,-45.67898178100586,-10.87491226196289,-9.815567970275879,-52.883052825927734,-13.101603507995605,-20.734899520874023,-45.84081268310547,-11.401556015014648,-3.8405601978302,-39.29047393798828,-13.584797859191895,-0.9171025156974792,-51.171775817871094,-3.6006669998168945,-4.657795429229736,-27.35004997253418,-2.087999105453491,-14.854257583618164,-42.472816467285156,-9.510211944580078,-5.841367244720459,-32.601951599121094,-20.305988311767578,-7.776541709899902,-35.76171112060547,-10.814552307128906,-10.359183311462402,-49.52131652832031,-10.439197540283203,-24.93421173095703,-28.586353302001953,-11.794185638427734,-4.188322067260742,-19.4266300201416,-26.57291603088379,-18.81497573852539,-36.62588119506836,-9.720860481262207,-10.30111312866211,-31.110715866088867,-6.329855918884277,-17.1403865814209,-49.85197448730469,-9.655681610107422,-9.995718955993652,-59.73694610595703,-12.865862846374512,-11.889677047729492,-47.00800704956055,-5.303622722625732,-9.773043632507324,-28.619035720825195,-1.6884949207305908,-1.8679255247116089,-53.9760627746582,-8.815657615661621,-9.200313568115234,-15.432138442993164,-1.4971208572387695,-20.26508903503418,-15.990487098693848,-5.634716987609863,-0.4216248393058777,-22.365463256835938,-7.610063076019287,-3.2551562786102295,-47.09526062011719,-8.880637168884277,-5.329539775848389,-19.278024673461914,-0.7059422731399536,0.1023821234703064,-25.642250061035156,-13.652875900268555,-4.3476738929748535,-40.30480194091797,-3.3422837257385254,-12.937103271484375,-50.072078704833984,-7.467191696166992,3.0434930324554443,-41.44074630737305,-14.549065589904785,1.543928861618042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:17",6,-45.76346206665039,-10.934491157531738,-9.790299415588379,-52.864036560058594,-13.101807594299316,-20.72400665283203,-46.183631896972656,-11.410371780395508,-3.8390769958496094,-39.31126403808594,-13.562872886657715,-0.9319182634353638,-51.059940338134766,-3.606839895248413,-4.663735866546631,-27.355369567871094,-2.0701024532318115,-14.899503707885742,-42.4705696105957,-9.535014152526855,-5.862417221069336,-32.57468795776367,-20.305858612060547,-7.807530879974365,-35.75700378417969,-10.81216049194336,-10.358957290649414,-49.59482192993164,-10.438528060913086,-24.905534744262695,-28.620651245117188,-11.789361000061035,-4.158323287963867,-19.409164428710938,-26.543184280395508,-18.791879653930664,-36.6213264465332,-9.726157188415527,-10.301872253417969,-31.048337936401367,-6.191118240356445,-17.27069091796875,-49.849544525146484,-9.651158332824707,-9.978632926940918,-59.62537384033203,-12.837408065795898,-11.888120651245117,-46.98283767700195,-5.30775260925293,-9.774794578552246,-28.625133514404297,-1.6884320974349976,-1.8702406883239746,-53.922603607177734,-8.82560920715332,-9.143800735473633,-15.448195457458496,-1.4971736669540405,-20.256084442138672,-16.008146286010742,-5.61672306060791,-0.4096532166004181,-22.32646369934082,-7.745810031890869,-3.2786359786987305,-47.17308807373047,-8.883332252502441,-5.3338823318481445,-19.27689552307129,-0.7113595604896545,0.06389962136745453,-25.669525146484375,-13.6571683883667,-4.347407817840576,-40.277732849121094,-3.3466367721557617,-12.956565856933594,-50.08330535888672,-7.455985069274902,3.0637993812561035,-41.38507843017578,-14.548849105834961,1.5438873767852783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:19",7,-46.058265686035156,-10.901716232299805,-9.851081848144531,-52.8602409362793,-13.101840019226074,-20.727752685546875,-46.1480827331543,-11.425285339355469,-3.8406341075897217,-39.285423278808594,-13.477222442626953,-0.9395505785942078,-50.94307327270508,-3.6076345443725586,-4.681492328643799,-27.34625816345215,-1.928285837173462,-14.791624069213867,-42.46108627319336,-9.565655708312988,-5.957973480224609,-32.56758499145508,-20.304502487182617,-7.63973331451416,-35.75792694091797,-10.809765815734863,-10.359232902526855,-49.566646575927734,-10.439091682434082,-24.718341827392578,-28.652124404907227,-11.785460472106934,-4.202327251434326,-19.41160774230957,-26.499780654907227,-18.816268920898438,-36.48447036743164,-9.725618362426758,-10.302430152893066,-31.21168327331543,-6.244743824005127,-17.284591674804688,-49.84953689575195,-9.645816802978516,-9.93326187133789,-59.58449172973633,-12.836734771728516,-11.891032218933105,-47.03962326049805,-5.303285598754883,-9.765900611877441,-28.625991821289062,-1.673675537109375,-1.877623200416565,-54.040435791015625,-8.818381309509277,-9.11585807800293,-15.475122451782227,-1.536004900932312,-20.27086067199707,-16.00834846496582,-5.5598673820495605,-0.3989153504371643,-22.29700469970703,-7.415038108825684,-3.273824453353882,-47.17189407348633,-8.899154663085938,-5.3241400718688965,-19.27669334411621,-0.7092450857162476,0.39036449790000916,-25.66252326965332,-13.652393341064453,-4.347362041473389,-40.15660858154297,-3.344726085662842,-12.948817253112793,-50.08103942871094,-7.466886520385742,3.1227967739105225,-41.330326080322266,-14.54936408996582,1.5438498258590698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021-11-17 15:07:20",8,-45.28229522705078,-10.653376579284668,-9.872628211975098,-52.85710525512695,-13.101787567138672,-20.723722457885742,-45.999427795410156,-11.42898941040039,-3.8449156284332275,-39.27259063720703,-13.445734977722168,-0.9303082227706909,-51.25914001464844,-3.599761486053467,-4.682117938995361,-27.31826400756836,-1.7418150901794434,-14.796689987182617,-42.578121185302734,-9.501256942749023,-5.888123989105225,-32.576873779296875,-20.303770065307617,-7.826434135437012,-35.75639343261719,-10.831214904785156,-10.359113693237305,-49.446102142333984,-10.437170028686523,-24.4453067779541,-28.62950325012207,-11.77497386932373,-4.260589599609375,-19.424535751342773,-26.48908805847168,-18.83556365966797,-36.248435974121094,-9.728805541992188,-10.309398651123047,-31.081087112426758,-6.224438190460205,-17.194454193115234,-49.84019470214844,-9.634452819824219,-9.985794067382812,-59.48957824707031,-12.826584815979004,-11.89102554321289,-46.99555587768555,-5.305052280426025,-9.771738052368164,-28.589075088500977,-1.6681889295578003,-1.874115228652954,-53.95744705200195,-8.827383041381836,-9.213425636291504,-15.473915100097656,-1.5383821725845337,-20.25352668762207,-16.01837921142578,-5.524175643920898,-0.39238572120666504,-22.218599319458008,-7.439870357513428,-3.498286724090576,-47.13294219970703,-8.905271530151367,-5.321406841278076,-19.271907806396484,-0.7203713059425354,0.13563647866249084,-25.65862274169922,-13.6610689163208,-4.346708297729492,-40.117149353027344,-3.34621000289917,-12.96786880493164,-50.02261734008789,-7.456638336181641,3.2623610496520996,-41.440704345703125,-14.557624816894531,1.543830156326294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
